gamePk,home_team_id,home_pitching_player_ERA,home_pitching_player_WHIP,home_pitching_player_K_per9,home_pitching_player_BB_per9,home_pitching_player_HR_per9,home_pitching_player_K_BB_ratio,home_pitching_player_pitches_per_inning,home_pitching_player_strike_to_ball_ratio,home_pitching_player_ground_to_fly_ratio,away_team_id,away_pitching_player_ERA,away_pitching_player_WHIP,away_pitching_player_K_per9,away_pitching_player_BB_per9,away_pitching_player_HR_per9,away_pitching_player_K_BB_ratio,away_pitching_player_pitches_per_inning,away_pitching_player_strike_to_ball_ratio,away_pitching_player_ground_to_fly_ratio
744816,120,7.5,4.943181818181818,11.113636363636365,36.75,0.0,0.2708333333333333,43.67424242424243,1.563140694874441,2.25,108,6.833333333333333,8.657407407407407,0.8333333333333334,66.41666666666667,0.4166666666666667,0.6666666666666666,63.97222222222222,1.3993055555555556,3.25
744817,120,1.8,0.75,10.575,0.9,0.9,3.0,15.4,2.693402777777778,1.0555555555555556,137,22.19318181818182,4.75,18.511363636363637,26.897727272727273,3.2727272727272725,1.277777777777778,40.63636363636364,1.6042313664596273,1.5
744818,120,0.0,1.1593806921675773,12.959016393442624,1.5,0.49180327868852464,2.0,19.077413479052822,1.8941135492859633,0.6875,108,2.625,0.9356060606060606,2.625,2.4204545454545454,0.0,3.5,13.348484848484848,2.0176470588235293,1.6666666666666667
744819,120,14.025974025974026,5.5064935064935066,15.603896103896103,15.837662337662337,0.0,1.5,49.04545454545455,2.1717377860235003,0.875,137,4.469387755102041,0.8843537414965986,7.346938775510204,3.857142857142857,1.2857142857142858,0.0,20.07482993197279,1.8749536178107606,0.75
744820,120,1.8,1.05,5.4,2.25,0.45,0.3333333333333333,13.35,2.4182539682539685,1.0,108,1.7142857142857142,0.7142857142857143,6.0,3.0,0.42857142857142855,1.0,18.19047619047619,1.7690217391304348,1.25
744821,120,1.5,0.8333333333333333,11.25,0.375,0.75,6.0,15.0,2.0091954022988507,0.9,137,0.34615384615384615,2.269230769230769,28.057342657342655,1.0384615384615383,0.0,1.3333333333333333,28.16293706293706,3.696236559139785,0.7777777777777778
744822,120,19.8,2.3600000000000003,1.44,0.36,1.0799999999999998,4.0,21.14181818181818,3.5875,0.9199999999999999,137,9.9,5.566666666666667,22.2,11.1,0.3,2.6666666666666665,40.9,1.4244444444444446,1.0
744823,120,23.625,3.2295454545454545,17.120454545454546,0.45,1.125,6.0,30.69090909090909,2.354166666666667,1.0833333333333335,158,4.75,1.0,5.25,0.75,0.75,3.0,13.444444444444445,4.433862433862434,3.6666666666666665
744824,120,11.25,2.722222222222222,4.0,3.0,2.0,0.8333333333333334,20.77777777777778,2.018915343915344,1.375,135,1.125,0.75,6.0,0.75,0.375,2.0,11.5,1.5608108108108107,0.6666666666666666
744825,120,47.65384615384615,10.58974358974359,28.15384615384615,39.57692307692307,1.5,1.2,72.85897435897435,2.4796783625730994,1.1,158,1.0799999999999998,0.76,5.4,1.8,0.36,1.0,13.76,2.718637992831541,1.3333333333333333
744826,120,27.0,3.4,22.5,0.9,9.0,1.0,27.9,4.063809523809524,0.875,158,54.36,9.4,20.52,9.36,0.36,1.0,53.96,1.7481884057971016,0.9
744827,120,1.2857142857142856,1.0,3.0,1.2857142857142856,0.0,2.3333333333333335,11.857142857142856,5.12280701754386,2.5,135,0.0,0.3333333333333333,9.0,3.0,0.0,3.0,12.666666666666666,1.6511627906976745,4.0
744828,120,17.099999999999998,5.566666666666666,10.200000000000001,15.6,0.6,1.0,47.96666666666667,2.7244047619047618,0.6666666666666666,135,0.0,0.45833333333333337,7.125,0.0,0.0,,11.333333333333334,3.205357142857143,0.5714285714285714
744829,120,60.25,10.25,37.5,45.0,0.0,0.6666666666666666,86.22222222222223,1.3373015873015872,4.0,113,5.625,0.9523809523809523,22.982142857142858,3.482142857142857,1.0714285714285714,2.0,22.125,3.9363636363636365,0.8333333333333334
744830,120,3.75,1.3333333333333333,8.25,5.25,1.5,0.8333333333333334,18.75,1.892845117845118,1.5,113,3.725409836065574,3.2868852459016393,2.9508196721311477,0.36885245901639346,0.36885245901639346,8.0,49.01229508196721,1.6605392156862744,4.0
744831,120,0.8571428571428571,0.5714285714285715,9.0,3.0,0.8571428571428571,1.0,12.095238095238095,1.5330882352941178,1.6666666666666667,113,36.0,4.483870967741935,6.483870967741936,1.4516129032258063,30.0,0.3333333333333333,24.53763440860215,2.2587301587301587,0.5833333333333334
744832,120,21.55609756097561,7.041463414634147,8.465188470066519,2.678048780487805,0.9,1.5,54.23924611973392,2.035875160875161,0.5416666666666666,138,1.3499999999999999,2.216666666666667,11.1,12.15,0.0,2.0,27.09166666666667,2.1107142857142858,2.0
744833,120,9.428571428571429,2.0,11.571428571428571,0.42857142857142855,3.4285714285714284,6.0,18.333333333333332,2.407142857142857,0.9,138,0.0,0.9339294585196226,4.202682563338301,0.0,0.0,,15.991058122205663,2.2685185185185186,0.6785714285714286
744834,120,0.0,0.125,13.5,0.5625,0.0,8.0,10.6875,5.206896551724138,0.42857142857142855,121,4.5,1.0,9.642857142857142,1.9285714285714284,4.5,0.3333333333333333,14.285714285714285,2.1587837837837838,2.0
744835,120,4.6517595307917885,1.716642228739003,10.27675953079179,5.7767595307917885,0.0,1.0,17.82624633431085,3.022408293460925,2.0,138,17.49350649350649,3.0490620490620484,6.584415584415584,7.883116883116883,4.090909090909091,1.1666666666666667,24.757575757575754,1.6912037037037038,1.0
744836,120,3.7636363636363637,2.971212121212121,1.6499999999999997,8.1,1.5,0.75,22.66212121212121,1.9416666666666667,2.25,138,1.5,3.494444444444445,10.549999999999999,3.8000000000000003,0.3,1.75,27.48888888888889,2.7402336860670196,0.875
744837,120,1.5,1.1666666666666665,28.5,9.0,0.9,1.0,38.8,2.1232919254658382,0.4444444444444445,121,48.98076923076923,8.134615384615385,27.865384615384617,23.365384615384617,2.6826923076923075,1.0,79.75961538461539,2.1404411764705884,0.9166666666666666
744838,120,9.346153846153847,1.3923076923076922,10.334265734265733,0.0,2.146153846153846,,16.665734265734265,2.0613636363636365,0.375,121,0.42857142857142855,0.6666666666666666,6.642857142857143,2.357142857142857,0.0,1.75,13.61904761904762,2.2575757575757573,0.7999999999999999
744839,120,0.375,0.7083333333333334,28.125,0.0,0.0,,22.041666666666668,2.7125,0.25,146,12.15,3.4,5.195454545454545,1.3499999999999999,0.9,0.6666666666666666,31.918181818181818,1.593189964157706,1.0833333333333333
744840,120,38.81868131868132,7.4375624375624385,18.458541458541458,1.416083916083916,19.285714285714285,5.0,61.01298701298702,2.6045795795795796,0.875,121,27.590163934426233,6.595628415300547,38.09016393442623,19.795081967213115,0.0,1.3333333333333333,51.053005464480876,2.0047008547008547,3.0
744841,120,2.52,1.04,11.52,0.72,1.8,3.5,16.119999999999997,2.204516129032258,3.0,109,0.8571428571428571,0.4761904761904762,6.857142857142857,0.0,0.8571428571428571,,9.0,2.805555555555556,0.75
744842,120,0.45,0.55,9.9,1.3499999999999999,0.0,2.3333333333333335,14.625,2.4717444717444716,1.0,109,1.4754098360655739,2.158469945355191,6.0,1.9672131147540985,0.49180327868852464,0.0,31.874316939890708,2.1666666666666665,2.5
744843,120,2.925,1.6,4.275,1.8,0.45,0.5,14.6,1.7798245614035086,3.0,109,0.0,0.5,7.5,0.0,0.0,,9.388888888888888,3.0462962962962963,2.25
744844,120,9.857142857142856,1.4761904761904763,3.857142857142857,0.0,3.4285714285714284,,16.71428571428571,2.3492063492063493,1.1666666666666667,144,0.75,0.2916666666666667,7.125,0.375,0.75,7.0,11.333333333333334,2.726923076923077,1.1
744845,120,2.25,0.75,10.5,0.75,0.0,2.0,12.75,3.9166666666666665,3.5,144,1.2857142857142856,0.9285714285714286,10.928571428571429,5.142857142857142,0.0,5.5,13.785714285714285,1.5404761904761906,0.8333333333333334
744846,120,0.0,1.0416666666666667,13.875,2.25,0.0,3.0,15.25,4.482323232323233,0.7222222222222222,146,30.857142857142858,5.285714285714286,1.2857142857142856,0.0,15.428571428571429,,52.76190476190476,2.5714285714285716,1.3
744847,120,0.42857142857142855,1.2857142857142858,7.285714285714286,3.4285714285714284,0.0,5.0,16.238095238095237,2.1192129629629632,0.8333333333333334,146,4.180645161290323,2.158064516129032,12.280645161290323,1.1612903225806452,0.9,0.5,20.59032258064516,3.2222222222222223,1.75
744848,120,1.575,0.475,13.275,0.45,1.125,7.0,13.45,3.5763157894736843,0.625,144,6.3,1.85,12.6,2.25,2.25,2.0,16.1,2.4409722222222223,0.4166666666666667
744849,120,0.878048780487805,0.7081300813008131,7.595121951219513,3.1170731707317074,0.0,0.888888888888889,14.74390243902439,2.1639863547758282,0.5,144,12.9375,5.033333333333333,17.6625,16.05,0.5625,0.9375,31.275,2.5735294117647056,1.5
