gamePk,home_team_id,home_batting_player_avg,home_batting_player_OPS,home_batting_player_K_rate,home_batting_player_BB_rate,home_batting_player_productive_outs,home_batting_player_homeRuns,home_batting_player_hits,home_batting_player_rbi,home_batting_player_doubles,home_batting_player_triples,home_batting_player_singles,away_team_id,away_batting_player_avg,away_batting_player_OPS,away_batting_player_K_rate,away_batting_player_BB_rate,away_batting_player_productive_outs,away_batting_player_homeRuns,away_batting_player_hits,away_batting_player_rbi,away_batting_player_doubles,away_batting_player_triples,away_batting_player_singles
746099,119,0.2583333333333333,0.7916666666666666,0.21666666666666665,0.08333333333333333,1,2,8,7,1,0,5,114,0.16818181818181818,0.5575757575757575,0.16818181818181818,0.06666666666666667,0,1,7,2,2,0,4
746100,119,0.3466666666666667,1.1916666666666667,0.1,0.135,0,5,12,10,1,0,6,112,0.23666666666666666,0.7866666666666666,0.14333333333333334,0.2,1,2,6,8,1,0,3
746101,119,0.29545454545454547,0.6772727272727272,0.14545454545454548,0.10454545454545454,1,1,10,4,0,0,9,112,0.42407407407407405,1.0296296296296297,0.15555555555555556,0.022222222222222223,2,2,16,10,2,0,12
746102,119,0.40555555555555556,0.9555555555555555,0.15555555555555556,0.09444444444444446,1,0,14,6,4,0,10,110,0.12037037037037036,0.5203703703703704,0.23888888888888887,0.12777777777777777,0,1,4,3,0,0,3
746103,119,0.13333333333333333,0.41666666666666663,0.20833333333333331,0.0,0,2,5,5,0,0,3,110,0.19833333333333333,0.5083333333333334,0.24,0.025,0,0,7,4,3,0,4
746104,119,0.15833333333333333,0.4583333333333333,0.2121212121212121,0.022727272727272728,0,1,6,1,2,0,3,114,0.16666666666666666,0.6296296296296297,0.2962962962962963,0.08333333333333333,0,2,5,3,1,0,2
746105,119,0.2222222222222222,0.574074074074074,0.175,0.15,1,0,7,2,1,1,5,110,0.21296296296296294,0.7185185185185186,0.23333333333333334,0.12777777777777777,0,2,7,3,0,0,5
746106,119,0.18518518518518517,0.7037037037037037,0.31481481481481477,0.12037037037037036,0,2,5,3,0,0,3,139,0.12878787878787878,0.4090909090909091,0.25,0.053030303030303025,0,1,5,1,1,0,3
746107,119,0.35000000000000003,1.3681818181818182,0.21818181818181817,0.09090909090909091,0,3,10,6,3,1,3,136,0.19696969696969696,0.5833333333333334,0.11363636363636363,0.10606060606060605,0,0,8,3,4,0,4
746108,119,0.23148148148148145,0.7907407407407407,0.18888888888888888,0.027777777777777776,1,3,8,8,2,0,3,139,0.3983333333333333,1.1733333333333333,0.15833333333333335,0.085,2,2,15,8,6,0,7
746109,119,0.1388888888888889,0.6203703703703703,0.16666666666666666,0.1388888888888889,0,2,4,3,0,0,2,136,0.08333333333333333,0.20833333333333331,0.4666666666666666,0.05833333333333333,0,0,2,0,0,0,2
746110,119,0.30000000000000004,0.8333333333333334,0.27222222222222225,0.05,1,0,10,8,5,1,4,136,0.34393939393939393,0.9848484848484849,0.18636363636363634,0.06363636363636363,1,1,9,4,0,0,8
746111,119,0.28518518518518515,0.8129629629629629,0.1,0.15,1,2,9,7,0,0,7,139,0.23148148148148145,0.6851851851851851,0.3796296296296296,0.0,0,2,8,3,2,0,4
746112,119,0.25,0.6944444444444444,0.35185185185185186,0.05555555555555555,0,1,8,4,2,0,5,134,0.25,0.6388888888888888,0.25,0.027777777777777776,0,1,9,1,1,0,7
746113,119,0.2592592592592593,0.9351851851851851,0.2222222222222222,0.1111111111111111,0,3,8,9,2,0,3,134,0.2777777777777778,0.8055555555555556,0.41111111111111115,0.05,0,2,11,5,3,0,6
746114,119,0.32222222222222224,0.8430555555555556,0.18333333333333335,0.12222222222222223,1,0,13,6,6,1,6,134,0.2425925925925926,0.7055555555555555,0.16,0.12,0,2,9,5,2,0,5
746115,119,0.23666666666666666,0.6016666666666667,0.145,0.05,0,0,8,4,1,0,7,143,0.31,1.0066666666666666,0.095,0.07833333333333334,0,3,10,8,4,0,3
746116,119,0.31481481481481477,0.9537037037037036,0.15740740740740738,0.0,1,2,9,5,4,0,3,143,0.23148148148148145,0.5648148148148148,0.3333333333333333,0.027777777777777776,0,0,8,2,1,1,6
746117,119,0.40185185185185185,1.1166666666666667,0.18888888888888888,0.07222222222222223,0,2,14,5,3,0,9,137,0.2727272727272727,0.7045454545454546,0.43787878787878787,0.07272727272727274,0,0,11,4,3,1,7
746118,119,0.315,0.8099999999999999,0.325,0.13999999999999999,0,0,9,5,2,0,7,137,0.13636363636363635,0.4636363636363636,0.21363636363636365,0.12272727272727274,0,1,5,2,0,0,4
746119,119,0.19444444444444442,0.5138888888888888,0.25,0.041666666666666664,0,0,5,3,2,0,3,137,0.2816666666666666,0.8300000000000001,0.24833333333333335,0.18,0,1,9,8,1,0,7
746120,119,0.15384615384615385,0.43589743589743585,0.23076923076923078,0.019230769230769232,0,1,7,2,3,0,3,143,0.3333333333333333,0.9444444444444444,0.15000000000000002,0.05,0,2,14,6,1,0,11
746121,119,0.3242424242424242,1.093939393939394,0.23055555555555554,0.11944444444444445,2,2,12,7,4,0,6,111,0.2424242424242424,0.7787878787878788,0.2303030303030303,0.09090909090909091,0,2,10,6,4,0,4
746122,119,0.26666666666666666,0.7583333333333333,0.23750000000000002,0.10694444444444444,0,1,7,2,2,0,4,158,0.32592592592592595,1.1203703703703702,0.2111111111111111,0.1388888888888889,0,3,12,9,4,0,5
746123,119,0.12037037037037036,0.5,0.3055555555555556,0.12962962962962962,0,1,4,4,2,0,1,111,0.21212121212121213,0.537878787878788,0.30303030303030304,0.0,0,1,9,1,2,0,6
746124,119,0.19166666666666665,0.5666666666666667,0.175,0.075,0,1,6,3,1,0,4,137,0.16666666666666666,0.5166666666666666,0.3,0.125,0,1,5,1,0,0,4
746125,119,0.275,1.1166666666666667,0.13333333333333333,0.025,0,6,10,9,2,0,2,111,0.25606060606060604,0.7484848484848485,0.3272727272727272,0.10909090909090909,0,1,9,6,3,0,5
746126,119,0.1515151515151515,0.37121212121212116,0.3409090909090909,0.06818181818181818,0,0,6,3,0,0,6,109,0.37666666666666665,1.1616666666666666,0.17272727272727273,0.17272727272727273,0,3,12,9,1,0,8
746127,119,0.31296296296296294,1.1851851851851853,0.23888888888888887,0.15000000000000002,0,4,10,8,1,0,5,158,0.12037037037037036,0.3796296296296296,0.3333333333333333,0.05555555555555555,0,1,4,5,0,0,3
746128,119,0.18939393939393942,0.712121212121212,0.13636363636363635,0.1590909090909091,0,2,6,4,1,0,3,109,0.3616666666666667,1.1633333333333333,0.16499999999999998,0.13166666666666665,2,4,16,12,5,0,7
746129,119,0.34833333333333333,1.3333333333333335,0.135,0.08,0,3,9,5,0,1,5,158,0.17592592592592593,0.6481481481481481,0.19444444444444445,0.08333333333333333,0,2,5,3,1,0,2
746130,119,0.18518518518518517,0.75,0.19444444444444445,0.06481481481481481,0,3,5,3,0,0,2,118,0.1111111111111111,0.25925925925925924,0.3611111111111111,0.05555555555555555,0,0,3,0,0,0,3
746131,119,0.2121212121212121,0.5606060606060606,0.22727272727272727,0.045454545454545456,0,1,5,2,0,0,4,108,0.11666666666666665,0.33666666666666667,0.23666666666666666,0.04,1,0,4,3,0,0,4
746132,119,0.25925925925925924,0.8685185185185185,0.19444444444444445,0.10555555555555556,1,2,9,7,3,0,4,108,0.09166666666666666,0.3083333333333333,0.4,0.0,0,1,3,2,1,0,1
746133,119,0.2777777777777778,0.7666666666666667,0.17777777777777778,0.05555555555555555,1,1,12,6,4,0,7,109,0.33333333333333337,0.86,0.20833333333333334,0.10333333333333332,1,2,10,4,0,0,8
746134,119,0.25925925925925924,0.7777777777777778,0.2037037037037037,0.037037037037037035,0,2,8,4,0,0,6,118,0.2121212121212121,0.553030303030303,0.09848484848484848,0.053030303030303025,0,1,5,3,0,0,4
746135,119,0.15833333333333333,0.475,0.175,0.08333333333333333,0,0,6,2,2,0,4,118,0.19833333333333333,0.6683333333333333,0.205,0.135,1,1,7,7,1,1,4
746136,119,0.13333333333333333,0.4333333333333333,0.275,0.05833333333333333,0,1,5,1,0,0,4,140,0.24074074074074073,0.6574074074074073,0.2222222222222222,0.16666666666666666,1,0,7,3,1,0,6
746137,119,0.25,0.6851851851851851,0.25,0.1111111111111111,0,1,7,2,1,0,5,140,0.2351851851851852,0.6462962962962963,0.08333333333333333,0.05555555555555555,0,1,8,3,1,0,6
746138,119,0.34259259259259256,0.8796296296296295,0.18333333333333332,0.1111111111111111,0,0,11,3,2,1,8,115,0.24166666666666664,0.5666666666666667,0.275,0.025,1,0,9,1,3,0,6
746139,119,0.39,1.4183333333333334,0.05000000000000001,0.20833333333333334,1,5,14,15,1,0,8,140,0.14393939393939392,0.4090909090909091,0.18939393939393942,0.053030303030303025,1,1,5,2,0,0,4
746140,119,0.15833333333333333,0.4083333333333333,0.13333333333333333,0.05833333333333333,0,0,5,0,1,0,4,115,0.19444444444444445,0.6833333333333333,0.21666666666666667,0.1611111111111111,0,1,7,3,0,1,5
746141,119,0.375,1.1783333333333332,0.11000000000000001,0.15,1,2,8,4,0,0,6,115,0.19444444444444445,0.4629629629629629,0.3425925925925926,0.08333333333333333,0,0,5,0,1,0,4
746142,119,0.2037037037037037,0.5462962962962963,0.25,0.09259259259259259,0,0,6,4,2,0,4,113,0.10185185185185185,0.2777777777777778,0.35185185185185186,0.0,0,0,3,0,0,1,2
746143,119,0.2196969696969697,0.5075757575757576,0.2803030303030303,0.08333333333333333,0,0,6,0,2,0,4,109,0.21833333333333335,0.6783333333333333,0.22333333333333333,0.05,0,2,9,4,1,1,5
