gamePk,home_team_name,home_ip_last_5,home_runs_allowed_last_5,home_er_last_5,home_so_last_5,home_bb_last_5,home_hr_allowed_last_5,away_team_name,away_ip_last_5,away_runs_allowed_last_5,away_er_last_5,away_so_last_5,away_bb_last_5,away_hr_allowed_last_5
745217,Seattle Mariners,8.2,5.4,4.8,7.8,3.2,1.8,San Francisco Giants,9.0,2.8,2.4,9.8,2.6,0.0
746111,Los Angeles Dodgers,8.8,2.6,2.4,6.0,2.2,1.0,Tampa Bay Rays,9.2,3.0,2.8,7.8,3.2,0.8
745703,New York Yankees,9.6,2.6,2.2,8.4,5.0,0.4,Colorado Rockies,8.4,4.0,3.8,5.2,3.0,1.2
744890,Toronto Blue Jays,9.0,5.4,5.0,9.8,2.8,1.2,Los Angeles Angels,8.2,4.6,4.2,5.8,2.2,1.0
746996,Baltimore Orioles,8.620000000000001,4.8,4.4,8.4,3.2,1.6,Houston Astros,8.8,4.2,3.4,9.4,3.6,1.4
745617,Oakland Athletics,9.0,3.4,3.0,9.8,3.2,0.8,Milwaukee Brewers,8.82,3.6,3.4,6.8,3.8,0.8
746917,Boston Red Sox,8.620000000000001,5.4,5.2,7.2,2.6,1.4,Arizona Diamondbacks,9.419999999999998,5.0,4.6,9.2,3.0,1.0
745218,Seattle Mariners,8.6,5.0,4.4,9.6,3.0,1.8,San Francisco Giants,9.219999999999999,3.6,2.8,11.2,3.2,0.2
746022,Miami Marlins,9.0,6.0,5.8,6.8,4.8,2.2,Chicago Cubs,9.0,3.0,3.0,10.2,2.8,1.0
745457,Pittsburgh Pirates,8.64,2.0,2.0,10.8,2.2,0.6,Cincinnati Reds,8.4,6.6,6.2,8.2,3.2,2.2
746599,Cleveland Guardians,9.0,5.2,5.0,7.8,4.8,1.4,Texas Rangers,9.2,3.0,3.0,10.4,2.2,0.6
745868,Minnesota Twins,8.62,5.6,4.8,7.4,3.2,1.4,St. Louis Cardinals,9.2,2.4,2.4,7.6,4.4,0.2
746271,Kansas City Royals,9.0,3.4,3.2,10.2,3.4,0.4,Philadelphia Phillies,8.4,4.2,4.2,8.0,3.4,1.6
746756,Chicago White Sox,8.4,3.6,3.4,9.0,3.8,0.6,Detroit Tigers,8.8,3.8,3.6,7.6,2.6,0.6
747077,Atlanta Braves,9.2,1.8,1.8,10.2,1.6,0.0,Washington Nationals,9.040000000000001,2.8,2.4,8.4,1.4,1.2
745377,San Diego Padres,9.0,5.4,5.2,9.6,1.4,0.4,New York Mets,8.8,5.0,4.6,7.8,3.4,1.2
746108,Los Angeles Dodgers,9.0,2.2,2.0,8.4,1.8,0.8,Tampa Bay Rays,8.440000000000001,3.0,3.0,6.2,3.0,0.8
747078,Atlanta Braves,9.2,2.0,2.0,8.8,1.6,0.2,Washington Nationals,8.84,2.8,2.4,8.6,1.8,1.0
746918,Boston Red Sox,8.82,5.4,5.2,7.6,3.6,1.0,Arizona Diamondbacks,9.0,3.6,3.6,9.8,2.6,0.8
745459,Pittsburgh Pirates,8.84,3.2,3.0,10.0,2.6,0.2,Cincinnati Reds,8.4,6.4,6.0,8.0,3.0,2.0
745706,New York Yankees,9.6,3.8,3.4,9.2,5.4,0.8,Colorado Rockies,8.4,4.0,3.8,6.0,3.0,1.2
744892,Toronto Blue Jays,9.0,4.4,4.2,10.8,2.8,1.2,Los Angeles Angels,8.2,4.2,4.0,6.0,1.8,1.0
746595,Cleveland Guardians,9.2,5.8,5.4,7.4,4.6,1.4,Texas Rangers,8.8,4.6,4.4,10.2,2.6,1.0
746023,Miami Marlins,9.0,8.4,7.8,5.8,5.6,2.8,Chicago Cubs,9.0,3.2,3.2,9.4,2.6,1.2
745863,Minnesota Twins,8.6,4.4,3.8,8.6,3.0,1.0,St. Louis Cardinals,9.0,3.2,3.2,7.4,4.0,0.6
746263,Kansas City Royals,9.0,5.4,5.2,9.4,2.6,0.8,Philadelphia Phillies,8.4,3.4,3.4,8.4,2.8,1.0
746754,Chicago White Sox,8.6,5.8,5.6,8.8,3.8,0.8,Detroit Tigers,8.6,4.2,4.2,8.2,2.0,0.6
745618,Oakland Athletics,9.0,5.2,4.6,10.0,3.6,1.0,Milwaukee Brewers,8.82,4.6,4.4,7.2,4.0,1.2
745376,San Diego Padres,9.0,6.2,5.2,10.0,1.2,1.0,New York Mets,8.8,4.6,4.4,7.0,3.4,1.0
745212,Seattle Mariners,8.6,5.2,4.8,9.6,3.2,1.8,San Francisco Giants,9.02,3.8,3.2,10.4,4.4,0.2
746106,Los Angeles Dodgers,9.2,3.8,3.4,9.4,2.4,1.0,Tampa Bay Rays,8.84,4.0,3.6,6.4,2.6,1.2
746994,Baltimore Orioles,8.8,4.4,4.0,7.2,3.0,1.6,Houston Astros,8.6,4.0,3.8,9.4,3.8,1.0
746628,Cleveland Guardians,8.6,5.2,5.0,8.2,3.2,1.2,Kansas City Royals,8.8,6.8,6.0,7.0,3.0,0.8
746628,Cleveland Guardians,8.6,5.2,5.0,8.2,3.2,1.2,Kansas City Royals,9.0,7.0,6.6,8.2,2.8,0.8
746596,Cleveland Guardians,8.8,4.4,4.0,7.4,3.0,1.0,Kansas City Royals,9.0,5.8,5.4,7.0,2.6,0.6
746942,Boston Red Sox,9.0,5.8,5.8,6.0,4.0,1.2,Toronto Blue Jays,8.2,6.0,5.2,6.8,2.8,2.0
746942,Boston Red Sox,9.0,5.8,5.8,6.0,4.0,1.2,Toronto Blue Jays,9.0,4.2,4.0,12.0,2.4,1.4
745458,Pittsburgh Pirates,8.84,3.8,3.4,9.8,3.2,0.2,Chicago Cubs,8.8,4.4,4.4,7.2,2.6,1.6
745538,Philadelphia Phillies,8.6,3.4,3.4,7.6,1.8,1.4,Houston Astros,8.6,3.4,3.2,8.8,3.0,0.8
744813,Washington Nationals,8.84,2.4,2.2,9.2,2.0,1.2,New York Yankees,9.0,2.6,2.4,8.4,3.6,0.6
746915,Boston Red Sox,9.0,5.6,5.4,7.8,3.8,1.0,Toronto Blue Jays,9.0,2.2,2.2,11.6,2.0,0.8
745865,Minnesota Twins,8.8,4.0,3.6,10.6,2.6,1.2,Atlanta Braves,9.2,2.8,2.6,8.4,2.0,0.2
745133,St. Louis Cardinals,9.0,3.0,3.0,8.2,3.8,0.8,San Diego Padres,9.0,5.6,4.6,11.2,1.6,1.2
746753,Chicago White Sox,8.8,6.6,6.4,9.8,4.6,0.8,Detroit Tigers,8.8,4.4,4.4,8.6,2.0,0.6
746513,Colorado Rockies,8.2,5.8,5.6,5.8,3.0,2.0,Miami Marlins,9.0,7.0,6.4,7.0,5.4,2.2
745215,Seattle Mariners,8.8,5.2,4.6,10.6,3.0,1.8,Tampa Bay Rays,8.64,4.6,4.2,7.6,2.8,1.6
746429,Detroit Tigers,8.8,4.6,4.4,7.2,2.6,0.6,Los Angeles Angels,8.0,4.8,4.8,6.4,3.0,1.4
746594,Cleveland Guardians,9.0,5.0,4.6,6.6,2.6,1.2,Kansas City Royals,9.0,6.6,5.8,6.4,2.6,0.8
746671,Cincinnati Reds,8.42,5.2,4.8,7.6,2.6,1.2,Oakland Athletics,9.0,5.6,5.0,10.6,3.8,1.2
745461,Pittsburgh Pirates,9.0,7.2,6.8,9.2,3.8,0.6,Chicago Cubs,8.8,4.4,4.4,6.6,2.4,1.4
745540,Philadelphia Phillies,8.8,3.4,3.4,7.8,1.8,1.2,Houston Astros,8.6,3.2,2.8,9.2,3.2,0.8
744811,Washington Nationals,8.84,3.2,3.0,9.2,2.4,1.8,New York Yankees,9.0,2.8,2.6,8.4,4.2,0.8
746916,Boston Red Sox,9.0,6.8,5.8,7.4,4.2,1.0,Toronto Blue Jays,9.0,2.2,2.0,11.0,1.6,0.8
745864,Minnesota Twins,9.0,4.6,4.2,11.2,3.4,1.2,Atlanta Braves,9.2,3.4,2.8,9.4,1.8,0.6
745132,St. Louis Cardinals,8.8,3.2,3.2,6.2,3.0,1.0,San Diego Padres,9.0,4.2,3.2,10.0,1.8,1.0
746755,Chicago White Sox,9.0,7.0,7.0,9.6,3.8,1.2,Texas Rangers,8.6,4.8,4.2,9.6,2.4,1.2
746755,Chicago White Sox,9.0,7.0,7.0,9.6,3.8,1.2,Texas Rangers,8.6,4.2,3.6,9.6,2.6,1.2
745946,Milwaukee Brewers,8.620000000000001,5.0,4.8,7.4,4.2,1.0,San Francisco Giants,8.819999999999999,4.0,3.4,10.6,4.6,0.2
746510,Colorado Rockies,8.4,5.0,4.8,7.0,3.2,1.8,Miami Marlins,8.8,7.0,6.4,8.0,5.4,2.0
747162,Arizona Diamondbacks,9.0,3.4,3.4,10.4,2.8,1.2,New York Mets,8.620000000000001,3.4,3.4,6.4,3.2,1.0
745213,Seattle Mariners,9.0,4.2,3.6,11.4,2.2,1.4,Tampa Bay Rays,8.440000000000001,5.2,4.2,7.2,2.6,1.8
746105,Los Angeles Dodgers,9.2,4.0,3.6,8.8,2.4,1.2,Baltimore Orioles,8.8,4.6,4.2,7.0,3.0,1.8
745452,Pittsburgh Pirates,9.0,9.0,7.8,8.6,4.8,1.0,Chicago Cubs,8.8,5.0,5.0,6.8,3.0,1.4
746589,Cleveland Guardians,9.0,5.2,4.8,6.6,2.8,1.4,Kansas City Royals,9.0,6.0,5.2,6.4,3.0,0.8
745541,Philadelphia Phillies,9.0,2.8,2.8,7.2,1.8,1.0,Houston Astros,8.4,4.2,3.8,9.2,2.6,1.0
745211,Seattle Mariners,9.2,3.2,3.0,12.2,1.8,1.8,Tampa Bay Rays,8.64,5.0,3.8,9.4,2.6,1.8
746755,Chicago White Sox,9.0,7.2,7.2,9.4,4.0,1.2,Texas Rangers,8.6,4.8,4.2,9.6,2.4,1.2
746755,Chicago White Sox,9.0,7.2,7.2,9.4,4.0,1.2,Texas Rangers,8.6,4.2,3.6,9.6,2.6,1.2
746430,Detroit Tigers,9.0,3.0,2.8,7.2,2.4,0.4,Los Angeles Angels,8.0,5.4,5.4,8.0,2.6,1.8
746672,Cincinnati Reds,8.42,4.8,4.4,8.2,2.4,1.2,Oakland Athletics,9.0,5.6,5.0,9.2,4.6,1.0
744809,Washington Nationals,8.84,3.0,2.6,8.0,2.6,1.4,New York Yankees,8.8,3.6,3.2,9.0,3.2,1.2
746913,Boston Red Sox,9.0,5.0,4.0,6.8,3.8,1.2,Toronto Blue Jays,8.8,2.6,2.4,10.6,1.4,1.0
745866,Minnesota Twins,9.2,5.4,4.8,10.0,4.0,1.0,Atlanta Braves,9.4,4.2,3.4,9.4,2.0,0.6
745134,St. Louis Cardinals,8.8,4.6,4.6,5.8,3.0,1.2,San Diego Padres,9.0,3.6,2.8,9.4,2.6,1.2
746752,Chicago White Sox,9.0,6.8,6.8,9.4,3.4,1.2,Texas Rangers,8.6,4.4,3.8,8.4,2.6,1.2
745943,Milwaukee Brewers,8.6,4.0,4.0,6.8,2.8,1.2,San Francisco Giants,8.819999999999999,4.6,4.0,10.2,6.0,0.6
746512,Colorado Rockies,8.6,5.2,5.0,6.6,3.6,2.0,Miami Marlins,8.8,6.6,6.0,7.8,4.2,2.4
747161,Arizona Diamondbacks,9.0,4.8,4.4,10.2,2.8,1.4,New York Mets,8.620000000000001,3.4,3.4,6.6,2.8,1.2
746103,Los Angeles Dodgers,9.2,4.0,3.6,9.6,2.6,1.6,Baltimore Orioles,9.0,4.2,3.8,7.4,2.8,1.2
746432,Detroit Tigers,9.0,3.0,2.4,8.0,2.6,0.6,Los Angeles Angels,8.0,5.0,5.0,8.0,3.6,1.8
746748,Chicago White Sox,9.0,5.0,4.8,9.2,2.8,0.8,Texas Rangers,8.6,4.4,3.6,7.6,2.8,1.2
745945,Milwaukee Brewers,8.8,4.0,4.0,8.6,2.4,1.2,San Francisco Giants,8.62,4.4,4.0,10.6,6.6,0.8
745135,St. Louis Cardinals,8.8,5.0,5.0,6.0,3.0,1.4,San Diego Padres,8.84,4.4,3.6,8.0,3.2,1.2
746514,Colorado Rockies,8.8,5.0,5.0,7.6,3.6,1.8,Miami Marlins,8.6,7.0,6.4,9.2,4.8,2.0
747159,Arizona Diamondbacks,9.0,4.2,3.8,10.0,2.6,1.2,New York Mets,8.42,4.4,4.4,7.4,2.6,1.8
746670,Cincinnati Reds,8.620000000000001,5.2,4.8,7.4,2.0,1.8,Oakland Athletics,9.0,6.6,6.0,8.6,4.0,1.2
745531,Philadelphia Phillies,9.2,3.4,3.4,6.8,1.6,1.4,Atlanta Braves,9.2,4.0,3.2,10.6,2.4,0.6
746914,Boston Red Sox,9.0,4.2,3.2,7.4,2.8,1.2,Toronto Blue Jays,8.6,3.0,2.6,10.0,1.0,1.0
