gamePk,team_side,team_id,team_name,inningsPitched,outs,runs,earnedRuns,hits,homeRuns,strikeOuts,baseOnBalls,hitBatsmen,numberOfPitches,balls,strikes,strikePercentage,groundOuts,flyOuts,completeGames,shutouts,saveOpportunities
745673,home,133,Oakland Athletics,9.0,27,2,2,5,1,12,4,0,151,59,92,.610,8,3,0,0,0
745426,away,113,Cincinnati Reds,8.0,24,6,4,10,0,6,2,1,137,43,94,.690,4,6,0,0,0
745426,home,135,San Diego Padres,9.0,27,4,4,8,2,9,0,0,129,38,91,.710,9,5,0,0,0
745260,away,144,Atlanta Braves,8.0,24,3,3,7,1,11,3,0,129,44,85,.660,6,3,0,0,0
745260,home,136,Seattle Mariners,9.0,27,2,1,6,0,10,2,0,143,45,98,.690,6,5,0,0,0
746478,away,138,St. Louis Cardinals,8.0,24,4,4,8,1,5,0,1,132,45,87,.660,8,5,0,0,0
746478,home,116,Detroit Tigers,9.0,27,1,1,7,1,8,2,0,137,51,86,.630,7,3,0,0,0
745996,away,139,Tampa Bay Rays,8.0,24,7,7,10,2,8,3,0,143,52,91,.640,8,7,0,0,0
745996,home,158,Milwaukee Brewers,9.0,27,1,1,5,0,7,4,0,149,60,89,.600,13,6,0,0,0
746800,away,142,Minnesota Twins,9.0,27,5,5,7,2,4,0,0,114,34,80,.700,10,2,0,0,0
746800,home,145,Chicago White Sox,9.0,27,10,8,12,1,8,7,0,193,84,109,.560,9,6,0,0,0
744939,away,118,Kansas City Royals,9.0,27,1,1,4,1,10,2,0,135,52,83,.610,9,4,0,0,0
744939,home,141,Toronto Blue Jays,9.0,27,6,6,7,1,7,1,1,135,44,91,.670,12,6,0,0,0
745670,away,134,Pittsburgh Pirates,8.0,24,4,3,6,2,6,5,0,128,51,77,.600,11,7,0,0,0
745670,home,133,Oakland Athletics,9.0,27,0,0,4,0,5,4,0,140,50,90,.640,11,11,0,1,0
745261,away,144,Atlanta Braves,9.0,27,2,2,10,0,12,2,1,162,53,109,.670,6,7,0,0,0
745261,home,136,Seattle Mariners,9.0,27,5,1,6,0,7,5,0,129,46,83,.640,3,10,0,0,0
746238,away,143,Philadelphia Phillies,9.0,27,1,1,10,1,11,2,0,180,66,114,.630,6,5,0,0,0
746238,home,108,Los Angeles Angels,9.0,27,2,2,7,0,18,3,0,160,59,101,.630,2,4,0,0,0
745423,away,113,Cincinnati Reds,8.0,24,6,4,8,1,6,3,0,133,55,78,.590,11,7,0,0,0
745423,home,135,San Diego Padres,9.0,27,2,2,4,1,12,2,1,131,50,81,.620,10,1,0,0,0
747048,away,147,New York Yankees,9.0,27,0,0,3,0,10,2,1,135,47,88,.650,6,4,0,1,0
747048,home,110,Baltimore Orioles,9.0,27,2,2,4,1,8,1,0,129,44,85,.660,12,1,0,0,0
746072,away,115,Colorado Rockies,8.0,24,4,4,7,0,2,5,1,118,45,73,.620,13,7,0,0,0
746072,home,146,Miami Marlins,9.0,27,1,1,4,0,8,3,0,129,42,87,.670,9,5,0,0,0
745829,away,112,Chicago Cubs,9.0,27,0,0,5,0,10,2,1,121,42,79,.650,7,3,0,1,0
745829,home,121,New York Mets,9.0,27,1,1,5,0,13,3,0,146,57,89,.610,5,4,0,0,0
746966,away,137,San Francisco Giants,8.0,24,6,6,10,0,7,4,0,131,48,83,.630,10,3,0,0,0
746966,home,111,Boston Red Sox,9.0,27,2,2,5,1,8,2,0,115,40,75,.650,8,1,0,0,0
745023,away,120,Washington Nationals,9.0,27,0,0,6,0,9,6,0,141,57,84,.600,9,5,0,1,0
745023,home,140,Texas Rangers,9.0,27,1,1,5,0,5,0,0,101,36,65,.640,12,7,0,0,0
746399,away,114,Cleveland Guardians,10.0,30,2,2,7,1,7,1,0,121,38,83,.690,9,5,0,0,0
746399,home,117,Houston Astros,10.0,30,3,2,9,1,6,5,0,151,61,90,.600,7,7,0,0,0
747207,away,119,Los Angeles Dodgers,9.0,27,0,0,7,0,7,5,0,155,54,101,.650,12,4,0,1,0
747207,home,109,Arizona Diamondbacks,9.0,27,8,8,10,2,9,8,0,183,78,105,.570,6,4,0,0,0
746070,away,115,Colorado Rockies,9.2,29,5,4,9,1,8,4,0,146,50,96,.660,7,7,0,0,0
746070,home,146,Miami Marlins,10.0,30,4,4,5,1,16,6,1,168,63,105,.630,6,3,0,0,0
747044,away,147,New York Yankees,8.0,24,7,6,8,3,9,0,3,128,42,86,.670,6,2,0,0,0
747044,home,110,Baltimore Orioles,9.0,27,2,2,6,1,11,3,1,149,55,94,.630,8,3,0,0,0
745830,away,112,Chicago Cubs,10.0,30,7,4,8,0,11,5,1,168,62,106,.630,7,6,0,0,0
745830,home,121,New York Mets,11.0,33,6,5,9,1,8,7,0,180,71,109,.610,14,4,0,0,0
746969,away,137,San Francisco Giants,9.0,27,1,1,4,0,11,5,1,148,53,95,.640,9,2,0,0,0
746969,home,111,Boston Red Sox,9.0,27,3,3,6,1,2,2,0,116,39,77,.660,9,6,0,0,0
745021,away,120,Washington Nationals,8.0,24,6,6,9,0,8,3,0,131,43,88,.670,7,4,0,0,0
745021,home,140,Texas Rangers,9.0,27,0,0,4,0,12,3,0,140,52,88,.630,10,2,0,1,0
746403,away,114,Cleveland Guardians,8.0,24,8,7,10,1,9,3,2,153,56,97,.630,4,4,0,0,0
746403,home,117,Houston Astros,9.0,27,2,2,7,0,7,4,0,143,53,90,.630,7,7,0,0,0
746890,away,158,Milwaukee Brewers,9.0,27,1,1,8,1,5,0,0,117,39,78,.670,10,8,0,0,0
746890,home,112,Chicago Cubs,9.0,27,3,3,8,0,12,2,0,161,60,101,.630,4,5,0,0,0
746721,away,110,Baltimore Orioles,9.0,27,0,0,2,0,8,0,0,106,33,73,.690,13,3,0,1,0
746721,home,113,Cincinnati Reds,9.0,27,3,3,9,1,8,5,0,168,58,110,.650,3,7,0,0,0
745510,away,115,Colorado Rockies,9.0,27,2,2,4,1,12,2,1,134,44,90,.670,8,3,0,0,0
745510,home,134,Pittsburgh Pirates,9.0,27,3,3,12,1,9,0,0,164,53,111,.680,8,6,0,0,0
745589,away,137,San Francisco Giants,8.0,24,4,2,6,0,10,4,0,151,59,92,.610,7,5,0,0,0
745589,home,143,Philadelphia Phillies,9.0,27,3,3,8,0,11,4,0,169,56,113,.670,6,5,0,0,0
744868,away,141,Toronto Blue Jays,8.0,24,9,5,12,1,7,5,0,163,65,98,.600,10,2,0,0,0
744868,home,120,Washington Nationals,9.0,27,3,3,7,0,6,2,0,131,41,90,.690,11,6,0,0,0
745101,away,121,New York Mets,8.0,24,10,10,13,1,7,6,0,155,60,95,.610,7,4,0,0,0
745101,home,139,Tampa Bay Rays,9.0,27,8,8,10,2,9,1,0,141,44,97,.690,7,3,0,0,0
745756,away,116,Detroit Tigers,8.0,24,2,2,6,0,9,5,0,155,60,95,.610,8,2,0,0,0
745756,home,147,New York Yankees,9.0,27,1,1,5,0,4,7,0,144,58,86,.600,16,4,0,0,0
746645,away,108,Los Angeles Angels,9.0,27,0,0,6,0,8,2,0,140,50,90,.640,10,4,0,1,0
746645,home,114,Cleveland Guardians,9.0,27,6,6,11,2,7,2,0,146,43,103,.710,11,6,0,0,0
746318,away,140,Texas Rangers,8.0,24,7,7,11,2,4,4,0,142,50,92,.650,13,3,0,0,0
746318,home,118,Kansas City Royals,9.0,27,1,1,7,0,10,2,0,152,59,93,.610,11,3,0,0,0
746402,away,136,Seattle Mariners,8.0,24,5,5,7,0,5,5,0,153,59,94,.610,10,4,0,0,0
746402,home,117,Houston Astros,9.0,27,3,3,7,2,9,3,0,138,49,89,.640,5,10,0,0,0
745914,away,111,Boston Red Sox,8.0,24,5,4,8,0,7,4,0,142,55,87,.610,10,3,0,0,0
745914,home,142,Minnesota Twins,9.0,27,2,2,4,0,13,1,1,124,37,87,.700,9,3,0,0,0
745187,away,145,Chicago White Sox,8.0,24,3,3,6,0,7,3,0,157,62,95,.610,8,4,0,0,0
745187,home,138,St. Louis Cardinals,9.0,27,0,0,3,0,6,1,0,115,34,81,.700,15,3,0,1,0
747208,away,135,San Diego Padres,9.0,27,1,1,3,0,10,0,0,128,46,82,.640,7,6,0,0,0
747208,home,109,Arizona Diamondbacks,9.0,27,7,7,12,3,9,2,0,171,56,115,.670,5,8,0,0,0
745665,away,146,Miami Marlins,8.0,24,3,3,5,1,9,0,1,120,36,84,.700,8,4,0,0,0
745665,home,133,Oakland Athletics,9.0,27,1,1,7,0,10,2,1,147,49,98,.670,12,2,0,0,0
746152,away,144,Atlanta Braves,10.1,31,4,2,9,1,8,5,1,170,59,111,.650,8,10,0,0,0
746152,home,119,Los Angeles Dodgers,11.0,33,3,2,6,2,8,1,0,164,54,110,.670,13,6,0,0,0
745750,away,116,Detroit Tigers,8.0,24,5,5,9,1,8,1,0,127,39,88,.690,7,4,0,0,0
745750,home,147,New York Yankees,9.0,27,3,3,7,1,14,1,2,164,64,100,.610,4,4,0,0,0
745911,away,111,Boston Red Sox,8.0,24,3,2,8,1,8,1,1,127,46,81,.640,9,5,0,0,0
745911,home,142,Minnesota Twins,9.0,27,1,1,8,0,12,3,0,158,63,95,.600,8,1,0,0,0
745183,away,145,Chicago White Sox,10.0,30,5,5,5,1,9,7,1,182,74,108,.590,14,4,0,0,0
745183,home,138,St. Louis Cardinals,10.0,30,6,4,8,0,8,3,0,166,67,99,.600,13,4,0,0,0
746884,away,158,Milwaukee Brewers,8.0,24,6,6,8,3,9,4,0,134,46,88,.660,6,6,0,0,0
746884,home,112,Chicago Cubs,9.0,27,5,4,8,1,11,4,0,157,48,109,.690,8,8,0,0,0
745511,away,115,Colorado Rockies,8.2,26,1,1,6,0,7,5,0,147,58,89,.610,8,3,0,0,0
745511,home,134,Pittsburgh Pirates,9.0,27,0,0,1,0,11,0,0,115,35,80,.700,5,5,0,1,0
744862,away,141,Toronto Blue Jays,9.0,27,3,3,6,0,13,5,1,187,69,118,.630,6,4,0,0,0
744862,home,120,Washington Nationals,9.0,27,6,2,9,1,9,3,0,172,63,109,.630,13,4,0,0,0
745666,away,146,Miami Marlins,8.0,24,20,20,21,6,3,6,3,185,76,109,.590,11,6,0,0,0
745666,home,133,Oakland Athletics,9.0,27,4,4,7,2,4,2,0,140,52,88,.630,13,2,0,0,0
745583,away,137,San Francisco Giants,8.0,24,14,11,12,1,4,10,1,189,78,111,.590,9,8,0,0,0
745583,home,143,Philadelphia Phillies,9.0,27,3,3,10,1,8,3,2,138,45,93,.670,9,4,0,0,0
746644,away,108,Los Angeles Angels,8.0,24,7,7,6,3,8,5,0,131,53,78,.600,7,2,0,0,0
746644,home,114,Cleveland Guardians,9.0,27,1,1,4,0,8,3,0,128,45,83,.650,9,6,0,0,0
746720,away,110,Baltimore Orioles,9.0,27,1,1,6,0,10,2,0,126,45,81,.640,4,6,0,0,0
746720,home,113,Cincinnati Reds,9.0,27,2,2,7,2,13,1,0,131,38,93,.710,8,4,0,0,0
746311,away,140,Texas Rangers,9.0,27,4,4,9,0,6,3,0,163,71,92,.560,11,6,0,0,0
746311,home,118,Kansas City Royals,9.0,27,15,14,17,0,5,4,0,175,74,101,.580,13,7,0,0,0
746394,away,136,Seattle Mariners,9.0,27,0,0,3,0,7,4,0,106,39,67,.630,9,6,0,1,0
746394,home,117,Houston Astros,9.0,27,5,5,10,2,6,3,1,137,54,83,.610,10,3,0,0,0
745100,away,121,New York Mets,8.0,24,3,3,7,0,9,4,0,145,49,96,.660,6,4,0,0,0
745100,home,139,Tampa Bay Rays,9.0,27,1,1,6,0,10,4,0,146,50,96,.660,9,2,0,0,0
747209,away,135,San Diego Padres,9.0,27,1,1,8,0,7,2,0,148,56,92,.620,6,6,0,0,0
747209,home,109,Arizona Diamondbacks,9.0,27,13,11,18,2,6,2,0,164,52,112,.680,12,4,0,0,0
747029,away,139,Tampa Bay Rays,8.0,24,9,9,10,4,7,3,0,140,46,94,.670,8,8,0,0,0
747029,home,110,Baltimore Orioles,9.0,27,5,5,10,0,13,4,0,164,66,98,.600,7,4,0,0,0
746952,away,116,Detroit Tigers,8.0,24,6,6,10,2,10,2,0,153,54,99,.650,11,2,0,0,0
746952,home,111,Boston Red Sox,9.0,27,3,3,7,1,9,1,0,139,48,91,.650,8,3,0,0,0
746629,away,120,Washington Nationals,8.0,24,3,3,5,0,7,5,1,137,49,88,.640,8,4,0,0,0
746629,home,114,Cleveland Guardians,9.0,27,2,2,6,0,6,2,0,130,41,89,.680,9,5,0,0,0
745812,away,109,Arizona Diamondbacks,9.0,27,5,5,12,2,4,2,0,154,54,100,.650,12,8,0,0,0
745812,home,121,New York Mets,9.0,27,10,9,11,1,13,5,0,166,62,104,.630,7,3,0,0,0
746305,away,135,San Diego Padres,9.0,27,3,3,8,1,8,3,0,156,61,95,.610,11,7,0,0,0
746305,home,118,Kansas City Royals,9.0,27,7,7,11,2,5,4,1,136,50,86,.630,11,6,0,0,0
746384,away,142,Minnesota Twins,8.0,24,5,5,10,4,5,3,0,139,51,88,.630,8,4,0,0,0
746384,home,117,Houston Astros,9.0,27,2,2,4,0,6,4,1,119,49,70,.590,8,6,0,0,0
747111,away,133,Oakland Athletics,9.0,27,9,8,13,2,4,4,0,164,64,100,.610,7,13,0,0,0
747111,home,144,Atlanta Braves,9.0,27,11,11,16,2,8,1,0,141,43,98,.700,9,4,0,0,0
746062,away,140,Texas Rangers,9.0,27,0,0,7,0,12,3,0,151,57,94,.620,6,3,0,1,0
746062,home,146,Miami Marlins,9.0,27,7,7,13,0,16,3,0,163,61,102,.630,7,4,0,0,0
745980,away,145,Chicago White Sox,9.0,27,4,3,7,0,13,5,0,163,58,105,.640,7,5,0,0,0
