gamePk,team_side,team_id,team_name,atBats,hits,doubles,triples,homeRuns,rbi,strikeOuts,baseOnBalls,avg,obp,slg,ops,stolenBases,caughtStealing,plateAppearances,leftOnBase
746939,away,135,San Diego Padres,38,12,1,0,2,9,7,4,.261,.326,.408,.734,0,0,42,13
746939,home,111,Boston Red Sox,35,8,2,0,1,2,6,2,.252,.321,.418,.739,0,0,38,22
746776,away,115,Colorado Rockies,29,3,0,0,2,3,9,3,.246,.306,.393,.699,1,0,32,7
746776,home,145,Chicago White Sox,28,8,2,0,0,5,7,6,.218,.280,.341,.621,0,1,35,21
747105,away,134,Pittsburgh Pirates,33,6,3,0,0,1,13,1,.228,.297,.360,.657,1,0,35,17
747105,home,144,Atlanta Braves,33,10,3,0,1,6,8,4,.243,.309,.404,.713,0,0,38,18
746292,away,114,Cleveland Guardians,31,8,4,0,1,3,10,2,.245,.319,.410,.729,1,1,35,17
746292,home,118,Kansas City Royals,32,13,1,0,4,9,4,8,.245,.308,.402,.710,3,1,41,13
745970,away,112,Chicago Cubs,30,5,1,0,1,2,13,3,.229,.311,.369,.680,0,0,35,14
745970,home,158,Milwaukee Brewers,29,5,1,0,1,4,6,1,.254,.331,.399,.730,1,0,31,8
745161,away,113,Cincinnati Reds,30,4,1,0,0,0,9,4,.229,.305,.377,.682,3,0,35,18
745161,home,138,St. Louis Cardinals,26,4,1,0,0,1,5,3,.239,.306,.378,.684,0,1,31,9
746214,away,116,Detroit Tigers,29,2,0,0,0,2,6,4,.228,.294,.368,.662,0,0,33,6
746214,home,108,Los Angeles Angels,32,10,1,0,2,5,10,1,.238,.304,.391,.695,0,1,33,11
747183,away,133,Oakland Athletics,40,14,0,1,4,9,15,3,.223,.295,.377,.672,3,0,44,13
747183,home,109,Arizona Diamondbacks,33,7,3,0,1,4,9,2,.249,.319,.397,.716,0,0,37,9
745238,away,142,Minnesota Twins,35,6,1,0,1,2,4,0,.249,.319,.423,.742,1,0,36,12
745238,home,136,Seattle Mariners,33,5,1,0,0,2,13,5,.218,.299,.367,.666,0,0,39,19
745319,away,119,Los Angeles Dodgers,31,7,1,1,0,3,8,3,.255,.334,.437,.771,0,0,35,12
745319,home,137,San Francisco Giants,33,8,1,1,3,5,7,2,.244,.314,.385,.699,1,0,35,11
746778,away,115,Colorado Rockies,30,4,0,0,2,3,7,2,.245,.305,.392,.697,0,0,32,6
746778,home,145,Chicago White Sox,35,12,2,0,4,10,10,2,.220,.281,.347,.628,0,0,39,9
745159,away,113,Cincinnati Reds,41,13,7,1,0,9,10,3,.231,.306,.379,.685,5,0,45,21
745159,home,138,St. Louis Cardinals,36,8,1,0,1,4,9,2,.239,.306,.377,.683,0,0,38,16
744921,away,147,New York Yankees,34,8,2,0,1,3,11,2,.250,.331,.429,.760,0,2,36,10
744921,home,141,Toronto Blue Jays,37,14,7,0,1,9,10,3,.236,.313,.377,.690,0,0,40,16
745559,away,146,Miami Marlins,35,8,2,0,1,3,12,0,.230,.279,.348,.627,0,1,35,10
745559,home,143,Philadelphia Phillies,31,5,1,0,1,2,10,3,.258,.331,.419,.750,1,0,35,11
746289,away,114,Cleveland Guardians,35,9,3,0,2,7,10,3,.245,.319,.412,.731,0,0,39,12
746289,home,118,Kansas City Royals,31,6,0,0,2,2,10,0,.244,.307,.401,.708,0,0,31,5
745801,away,117,Houston Astros,36,10,2,0,1,8,10,7,.264,.323,.422,.745,0,0,45,23
745801,home,121,New York Mets,37,9,3,0,1,6,10,4,.251,.323,.417,.740,2,0,41,18
747186,away,133,Oakland Athletics,28,2,0,0,0,0,10,1,.222,.293,.374,.667,0,0,29,6
747186,home,109,Arizona Diamondbacks,34,12,3,0,0,3,5,4,.250,.320,.397,.717,0,0,39,21
746940,away,135,San Diego Padres,44,16,2,0,4,10,8,3,.263,.327,.412,.739,0,0,47,16
746940,home,111,Boston Red Sox,31,6,2,0,1,1,11,2,.251,.320,.418,.738,0,0,34,16
745071,away,120,Washington Nationals,38,13,2,1,1,7,4,4,.237,.305,.367,.672,0,0,42,19
745071,home,139,Tampa Bay Rays,28,2,0,0,1,1,11,4,.235,.309,.365,.674,0,1,32,9
747104,away,134,Pittsburgh Pirates,35,7,0,1,0,1,10,6,.228,.297,.359,.656,1,0,42,22
747104,home,144,Atlanta Braves,32,7,0,0,1,2,12,3,.243,.308,.403,.711,0,0,35,12
745972,away,112,Chicago Cubs,31,8,1,0,2,5,9,6,.230,.312,.370,.682,0,1,39,16
745972,home,158,Milwaukee Brewers,36,11,1,0,0,3,8,1,.255,.331,.398,.729,3,1,37,17
745317,away,119,Los Angeles Dodgers,47,16,4,1,1,14,8,5,.256,.335,.439,.774,0,0,54,19
745317,home,137,San Francisco Giants,45,13,6,0,0,7,9,7,.245,.315,.386,.701,1,1,53,38
747018,away,140,Texas Rangers,36,9,3,0,4,5,5,3,.237,.306,.372,.678,1,0,40,12
747018,home,110,Baltimore Orioles,30,7,2,0,2,6,4,7,.255,.317,.464,.781,0,0,39,18
746211,away,116,Detroit Tigers,36,7,0,0,1,5,8,3,.227,.294,.367,.661,0,1,41,19
746211,home,108,Los Angeles Angels,36,9,3,0,1,5,11,4,.238,.304,.391,.695,1,0,41,23
745239,away,142,Minnesota Twins,36,10,3,0,1,5,12,1,.249,.319,.423,.742,1,1,37,15
745239,home,136,Seattle Mariners,31,6,1,0,1,1,15,2,.218,.298,.366,.664,1,0,33,11
747101,away,134,Pittsburgh Pirates,34,6,1,0,2,4,12,2,.227,.296,.359,.655,0,0,37,11
747101,home,144,Atlanta Braves,30,6,2,0,0,1,9,5,.243,.308,.401,.709,0,0,36,13
746938,away,135,San Diego Padres,32,8,2,0,0,1,4,0,.263,.326,.411,.737,0,0,34,16
746938,home,111,Boston Red Sox,31,8,1,0,2,3,5,3,.251,.321,.418,.739,0,0,34,13
745555,away,146,Miami Marlins,39,12,5,0,1,6,6,3,.231,.280,.350,.630,0,1,43,17
745555,home,143,Philadelphia Phillies,38,14,2,0,1,7,12,4,.259,.333,.421,.754,1,0,44,28
744916,away,147,New York Yankees,39,12,5,0,1,8,11,5,.251,.332,.430,.762,0,0,45,24
744916,home,141,Toronto Blue Jays,30,4,0,0,0,1,10,2,.235,.312,.375,.687,0,0,34,11
745802,away,117,Houston Astros,44,15,4,0,1,10,5,2,.265,.324,.423,.747,0,2,46,18
745802,home,121,New York Mets,38,5,3,0,1,5,8,7,.249,.323,.415,.738,0,0,45,21
745072,away,120,Washington Nationals,30,3,0,0,0,0,16,3,.235,.304,.365,.669,1,0,34,13
745072,home,139,Tampa Bay Rays,31,9,2,1,3,5,7,1,.236,.309,.369,.678,0,0,33,7
746290,away,114,Cleveland Guardians,34,8,2,0,0,2,13,1,.245,.319,.410,.729,0,0,35,11
746290,home,118,Kansas City Royals,34,11,3,1,1,6,5,2,.245,.307,.403,.710,1,0,37,17
746779,away,115,Colorado Rockies,43,6,1,0,0,4,21,4,.243,.304,.388,.692,4,0,52,22
746779,home,145,Chicago White Sox,47,10,1,0,1,4,8,4,.220,.281,.346,.627,0,0,53,28
745971,away,112,Chicago Cubs,29,2,0,0,1,1,9,3,.228,.311,.368,.679,0,0,32,7
745971,home,158,Milwaukee Brewers,33,10,0,0,2,7,6,4,.255,.332,.399,.731,0,0,37,15
